County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Walton County, Florida",12131,65889,23.0,3.490719239933828e-05,0,0,3.441435996805785e-05,2.113488889262468e-05,4.836535084101333e-05,3.45988236915126e-05,2.083973730368545e-05,4.821032654966307e-05,3.448091880791729e-05,2.0830655589838376e-05,4.826979766326012e-05,3.448091880791729e-05,2.0830655589838376e-05,4.826979766326012e-05,-10.262817664047757
"Walton County, Georgia",13297,90184,25.0,2.772110352168899e-05,0,0,2.7566387501006546e-05,1.7386271679409546e-05,3.8565590409101384e-05,2.7685281114176923e-05,1.7315168670453526e-05,3.844953681749746e-05,2.7565674846930438e-05,1.7283086049816934e-05,3.861828260904677e-05,2.7565674846930438e-05,1.7283086049816934e-05,3.861828260904677e-05,-10.493316574850212
"Walworth County, South Dakota",46129,5610,0.0,0.0,0,1,6.251068881229672e-06,1.8900186188160367e-14,2.41664743106188e-05,5.0591940241559465e-06,7.667251256564308e-16,2.201304401256898e-05,4.393006720303231e-06,3.1408451877628284e-17,2.0351287974156168e-05,4.393006720303231e-06,3.1408451877628284e-17,2.0351287974156168e-05,-16.977315754707732
"Walworth County, Wisconsin",55127,102959,40.0,3.885041618508338e-05,0,0,3.854614586186461e-05,2.6510540006734114e-05,5.056142992001389e-05,3.864715597524254e-05,2.687396689083072e-05,5.092630677841312e-05,3.8613339246148146e-05,2.6824853244992245e-05,5.0433576978371246e-05,3.8613339246148146e-05,2.6824853244992245e-05,5.0433576978371246e-05,-10.155791768593238
"Wapello County, Iowa",19179,34982,13.0,3.716196901263507e-05,0,0,3.647270905096572e-05,1.9244039686888047e-05,5.6481163094583124e-05,3.662670448461836e-05,1.7962808356634104e-05,5.571412599592814e-05,3.649618811091388e-05,1.7926385057746892e-05,5.575316104372226e-05,3.649618811091388e-05,1.7926385057746892e-05,5.575316104372226e-05,-10.200224657999517
"Ward County, North Dakota",38101,70210,31.0,4.415325452214784e-05,0,0,4.348001053026331e-05,2.911816377948193e-05,5.97646549416786e-05,4.379868545624596e-05,2.93081137088627e-05,5.977658388535464e-05,4.359396845731701e-05,2.895200699061496e-05,5.9321935012734233e-05,4.359396845731701e-05,2.895200699061496e-05,5.9321935012734233e-05,-10.027843918520194
"Ward County, Texas",48475,11600,0.0,0.0,0,1,3.5355448912689962e-06,1.3199364174159985e-14,1.4214939702595558e-05,2.658355976016278e-06,1.3493949390385508e-17,1.1445717121053325e-05,2.354142376178504e-06,2.4081308564377245e-21,1.0581579304250636e-05,2.354142376178504e-06,2.4081308564377245e-21,1.0581579304250636e-05,-16.977315754707732
"Ware County, Georgia",13299,35738,11.0,3.077956237058593e-05,0,0,3.0332500509489797e-05,1.4442616409822353e-05,4.8050990661282644e-05,3.054308773611097e-05,1.4204028384462695e-05,4.8285012548914215e-05,3.031489739310203e-05,1.356754464097135e-05,4.792196621685545e-05,3.031489739310203e-05,1.356754464097135e-05,4.792196621685545e-05,-10.388659647634281
"Warren County, Georgia",13301,5442,0.0,0.0,0,1,6.3334531763507885e-06,1.0936093167228799e-13,2.5290902124889415e-05,5.056365095137214e-06,3.6582834834429295e-16,2.268792167517344e-05,1.0110645238178512e-05,3.700548950780923e-10,3.301090026074944e-05,1.0110645238178512e-05,3.700548950780923e-10,3.301090026074944e-05,-16.977315754707732
"Warren County, Illinois",17187,17378,14.0,8.056162964667971e-05,1,0,7.392720435260585e-05,3.789705231528718e-05,0.0001127751456117564,7.633686255714323e-05,3.835515620959809e-05,0.00011552858631746739,7.614557262823894e-05,4.028999479657312e-05,0.00011695791565455451,7.614557262823894e-05,4.028999479657312e-05,0.00011695791565455451,-9.426488080777938
"Warren County, Indiana",18171,8166,0.0,0.0,0,1,4.6016054668161826e-06,1.627238687662812e-13,1.829207827179659e-05,3.6332712721449485e-06,3.579404214647557e-18,1.5961512588631366e-05,3.2146914279713493e-06,3.0274413088823225e-19,1.4459883046281062e-05,3.2146914279713493e-06,3.0274413088823225e-19,1.4459883046281062e-05,-16.977315754707732
"Warren County, Iowa",19181,49691,12.0,2.4149242317522288e-05,0,0,2.3974153219090272e-05,1.2106703206927457e-05,3.787061045930457e-05,2.408760751306387e-05,1.2246436073494705e-05,3.8267180206448076e-05,2.417114714699875e-05,1.1554969420401792e-05,3.768807143303609e-05,2.417114714699875e-05,1.1554969420401792e-05,3.768807143303609e-05,-10.631257552373507
"Warren County, Kentucky",21227,125532,31.0,2.4694898511933212e-05,0,0,2.4670328193025876e-05,1.6408203991553615e-05,3.3250837009467766e-05,2.468377707820924e-05,1.6468802074482988e-05,3.374380826825481e-05,2.468969343616494e-05,1.6555377526839126e-05,3.365371555970764e-05,2.468969343616494e-05,1.6555377526839126e-05,3.365371555970764e-05,-10.608913873640661
"Warren County, Mississippi",28149,47140,14.0,2.9698769622401358e-05,0,0,2.931211426534242e-05,1.4697447817804357e-05,4.441380175692356e-05,2.9487580219133787e-05,1.4859476269566718e-05,4.487624191459489e-05,2.9373987239105696e-05,1.555472135514421e-05,4.486805195197061e-05,2.9373987239105696e-05,1.555472135514421e-05,4.486805195197061e-05,-10.424404939868909
"Warren County, Missouri",29219,33802,0.0,0.0,0,1,1.3206322018572597e-06,1.0914421893602066e-13,5.167793199394462e-06,9.738018068796237e-07,2.7282337045328222e-17,4.252207931563303e-06,8.56187698086534e-07,8.01414750662276e-18,3.933650334531119e-06,8.56187698086534e-07,8.01414750662276e-18,3.933650334531119e-06,-16.977315754707732
"Warren County, New Jersey",34041,106617,43.0,4.033127925190167e-05,0,0,3.998969094694912e-05,2.855101955565273e-05,5.184852983878487e-05,4.018242956582217e-05,2.868422258157073e-05,5.223178424945155e-05,4.010400861300633e-05,2.8232492078663736e-05,5.249905203274907e-05,4.010400861300633e-05,2.8232492078663736e-05,5.249905203274907e-05,-10.1183832299713
"Warren County, New York",36113,64567,27.0,4.1817027273994454e-05,0,0,4.11859374078496e-05,2.6863777821317043e-05,5.759507332037752e-05,4.145682576393344e-05,2.6354856463966055e-05,5.750776734876366e-05,4.134140844930335e-05,2.6752712045241214e-05,5.7353994352853526e-05,4.134140844930335e-05,2.6752712045241214e-05,5.7353994352853526e-05,-10.08220695032598
